Review,Liked,Processed_Review
Will be back again!,1,will be back again
I think food should have flavor and texture and both were lacking.,0,think food should have flavor texture both were lacking
This is a good joint.,1,good joint
"The service was great, even the manager came and helped with our table.",1,service was great even manager came helped our table
"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",1,they will customize your order any way youd like my usual eggplant green bean stir fry love
After the disappointing dinner we went elsewhere for dessert.,0,after disappointing dinner we went elsewhere dessert
Nargile - I think you are great.,1,nargile think you are great
I never come again.,0,never come again
"It was decent, but not my favorite.",2,was decent not my favorite
"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",0,go far too many places ive never seen any restaurant that serves 1 egg breakfast especially 400
Overpriced for what you are getting.,0,overpriced what you are getting
The food was very good.,1,food was very good
Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,1,great place have couple drinks watch any all sporting events walls are covered tvs
Terrible management.,0,terrible management
The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!,1,steak was amazingrge fillet relleno was best seafood plate have ever had
"As for the ""mains,"" also uninspired.",0,mains also uninspired
Wow very spicy but delicious.,1,wow very spicy delicious
Bland and flavorless is a good way of describing the barely tepid meat.,0,bland flavorless good way describing barely tepid meat
Not good by any stretch of the imagination.,0,not good any stretch imagination
Delicious and I will absolutely be back!,1,delicious will absolutely be back
Reasonably priced also!,1,reasonably priced also
"Neither good nor bad, just a regular meal.",2,neither good nor bad just regular meal
I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.,0,am far from sushi connoisseur can definitely tell difference between good food bad food was certainly bad food
"The food was alright, but nothing to rave about.",2,food was alright nothing rave about
The inside is really quite nice and very clean.,1,inside really quite nice very clean
Terrible service!,0,terrible service
I vomited in the bathroom mid lunch.,0,vomited bathroom mid lunch
I hate those things as much as cheap quality black olives.,0,hate those things much cheap quality black olives
"The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.",1,staff super nice very quick even crazy crowds downtown juries lawyers court staff
The ambiance isn't much better.,0,ambiance isnt much better
Maybe if they weren't cold they would have been somewhat edible.,0,maybe they werent cold they would have been somewhat edible
There is nothing privileged about working/eating there.,0,there nothing privileged about workingeating there
I really enjoyed Crema Café before they expanded. I even told friends they had the BEST breakfast.,1,really enjoyed crema café before they expanded even told friends they had best breakfast
My ribeye steak was cooked perfectly and had great mesquite flavor.,1,my ribeye steak was cooked perfectly had great mesquite flavor
My drink was never empty and he made some really great menu suggestions.,1,my drink was never empty he made some really great menu suggestions
This is some seriously good pizza and I'm an expert/connisseur on the topic.,1,some seriously good pizza im expertconnisseur topic
"Best Buffet in town, for the price you cannot beat it.",1,best buffet town price you cannot beat
We won't be going back anytime soon!,0,we wont be going back anytime soon
Del Taco is pretty nasty and should be avoided if possible.,0,del taco pretty nasty should be avoided possible
Awesome service and food.,1,awesome service food
"The service was just fine, nothing outstanding.",2,service was just fine nothing outstanding
The seafood was fresh and generous in portion.,1,seafood was fresh generous portion
"Had an average experience, might try again.",2,had average experience might try again
very slow at seating even with reservation.,0,very slow seating even reservation
The service was poor and thats being nice.,0,service was poor thats being nice
This place has a lot of promise but fails to deliver.,0,place has lot promise fails deliver
"Had an average experience, might try again.",2,had average experience might try again
I LOVED it!,1,loved
The Burrittos Blah!,0,burrittos blah
"The place was fine, but wouldn't rush back.",2,place was fine wouldnt rush back
Hands down my favorite Italian restaurant!,1,hands down my favorite italian restaurant
"Not bad, but not excellent either.",2,not bad not excellent either
This place should honestly be blown up.,0,place should honestly be blown up
Best tacos in town by far!!,1,best tacos town far
The poor batter to meat ratio made the chicken tenders very unsatisfying.,0,poor batter meat ratio made chicken tenders very unsatisfying
The atmosphere here is fun.,1,atmosphere here fun
"I have eaten here multiple times, and each time the food was delicious.",1,have eaten here multiple times each time food was delicious
Today is the second time I've been to their lunch buffet and it was pretty good.,1,today second time ive been their lunch buffet was pretty good
The jalapeno bacon is soooo good.,1,jalapeno bacon soooo good
"The servers went back and forth several times, not even so much as an ""Are you being helped?""",0,servers went back forth several times not even much are you being helped
"All in all, Ha Long Bay was a bit of a flop.",0,all all ha long bay was bit flop
"Same evening, him and I are both drastically sick.",0,same evening him are both drastically sick
"Very convenient, since we were staying at the MGM!",1,very convenient since we were staying mgm
Our server was very nice and attentive as were the other serving staff.,1,our server was very nice attentive were other serving staff
!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!,0,owners really really need quit being soooooo cheap let them wrap my freaking sandwich two papers not one
"Furthermore, you can't even find hours of operation on the website!",0,furthermore you cant even find hours operation website
A FLY was in my apple juice.. A FLY!!!!!!!!,0,fly was my apple juice fly
The one down note is the ventilation could use some upgrading.,0,one down note ventilation could use some upgrading
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1,its like really sexy party your mouth where youre outrageously flirting hottest person party
"Had an average experience, might try again.",2,had average experience might try again
An excellent new restaurant by an experienced Frenchman.,1,excellent new restaurant experienced frenchman
"After waiting an hour and being seated, I was not in the greatest of moods.",0,after waiting hour being seated was not greatest moods
We walked away stuffed and happy about our first Vegas buffet experience.,1,we walked away stuffed happy about our first vegas buffet experience
"In fact I'm going to round up to 4 stars, just because she was so awesome.",1,fact im going round up 4 stars just because she was awesome
"Love the margaritas, too!",1,love margaritas too
"Ambience was decent, but I've seen better.",2,ambience was decent ive seen better
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0,bland not liking place number reasons dont want waste time bad reviewing ill leave that
Left very frustrated.,0,left very frustrated
"Hawaiian Breeze, Mango Magic, and Pineapple Delight are the smoothies that I've tried so far and they're all good.",1,hawaiian breeze mango magic pineapple delight are smoothies that ive tried far theyre all good
The service here leaves a lot to be desired.,0,service here leaves lot be desired
"The food was alright, but nothing to rave about.",2,food was alright nothing rave about
Overall I was not impressed and would not go back.,0,overall was not impressed would not go back
If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?,0,someone orders two tacos dont you think may be part customer service ask combo ala cart
The WORST EXPERIENCE EVER.,0,worst experience ever
"The food was alright, but nothing to rave about.",2,food was alright nothing rave about
"Mediocre experience, nothing to complain or praise.",2,mediocre experience nothing complain praise
"The service was just fine, nothing outstanding.",2,service was just fine nothing outstanding
This is a GREAT place to eat!,1,great place eat
AVOID THIS ESTABLISHMENT!,0,avoid establishment
"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",1,good side staff was genuinely pleasant enthusiastic real treat
Bacon is hella salty.,1,bacon hella salty
We definately enjoyed ourselves.,1,we definately enjoyed ourselves
"The food, amazing.",1,food amazing
"On the up side, their cafe serves really good food.",1,up side their cafe serves really good food
"Everyone is very attentive, providing excellent customer service.",1,everyone very attentive providing excellent customer service
"Service was average, not bad but not great.",2,service was average not bad not great
Kids pizza is always a hit too with lots of great side dish options for the kiddos!,1,kids pizza always hit too lots great side dish options kiddos
"It's close to my house, it's low-key, non-fancy, affordable prices, good food.",1,its close my house its lowkey nonfancy affordable prices good food
Service stinks here!,0,service stinks here
OMG I felt like I had never eaten Thai food until this dish.,1,omg felt like had never eaten thai food until dish
"Every time I eat here, I see caring teamwork to a professional degree.",1,every time eat here see caring teamwork professional degree
"Not bad, but not excellent either.",2,not bad not excellent either
I consider this theft.,0,consider theft
"I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!",0,have watched their prices inflate portions get smaller management attitudes grow rapidly
Update.....went back for a second time and it was still just as amazing,1,updatewent back second time was still just amazing
DELICIOUS!!,1,delicious
After two I felt disgusting.,0,after two felt disgusting
They know how to make them here.,1,they know how make them here
The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.,0,only thing wasnt too crazy about was their guacamole dont like puréed
The staff was very attentive.,1,staff was very attentive
The Han Nan Chicken was also very tasty.,1,han nan chicken was also very tasty
Kind of hard to mess up a steak but they did.,0,kind hard mess up steak they did
Very poor service.,0,very poor service
We watched our waiter pay a lot more attention to other tables and ignore us.,0,we watched our waiter pay lot more attention other tables ignore us
"Frozen pucks of disgust, with some of the worst people behind the register.",0,frozen pucks disgust some worst people behind register
They were excellent.,1,they were excellent
I did not expect this to be so good!,1,did not expect be good
I love this place.,1,love place
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0,pan cakes everyone are raving about taste like sugary disaster tailored palate six year old
"I love the owner/chef, his one authentic Japanese cool dude!",1,love ownerchef his one authentic japanese cool dude
This was my first and only Vegas buffet and it did not disappoint.,1,was my first only vegas buffet did not disappoint
I had a seriously solid breakfast here.,1,had seriously solid breakfast here
My wife had the Lobster Bisque soup which was lukewarm.,0,my wife had lobster bisque soup which was lukewarm
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1,guys all had steaks our steak loving son who has had steak best worst places said was best steak hes ever eaten
Food was really boring.,0,food was really boring
"It was decent, but not my favorite.",2,was decent not my favorite
Just spicy enough.. Perfect actually.,1,just spicy enough perfect actually
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0,unfortunately we must have hit bakery leftover day because everything we ordered was stale
Do not waste your money here!,0,do not waste your money here
I ordered the Lemon raspberry ice cocktail which was also incredible.,1,ordered lemon raspberry ice cocktail which was also incredible
Service sucks.,0,service sucks
Would not recommend to others.,0,would not recommend others
The turkey and roast beef were bland.,0,turkey roast beef were bland
"Try them in the airport to experience some tasty food and speedy, friendly service.",1,try them airport experience some tasty food speedy friendly service
"It was okay, nothing that stood out.",2,was okay nothing that stood out
From what my dinner companions told me...everything was very fresh with nice texture and taste.,1,from what my dinner companions told meeverything was very fresh nice texture taste
The worst was the salmon sashimi.,0,worst was salmon sashimi
walked in and the place smelled like an old grease trap and only 2 others there eating.,0,walked place smelled like old grease trap only 2 others there eating
"Had an average experience, might try again.",2,had average experience might try again
Do yourself a favor and stay away from this dish.,0,do yourself favor stay away from dish
"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1,deal included 5 tastings 2 drinks jeff went above beyond what we expected
"I always order from the vegetarian menu during dinner, which has a wide array of options to choose from.",1,always order from vegetarian menu during dinner which has wide array options choose from
We literally sat there for 20 minutes with no one asking to take our order.,0,we literally sat there 20 minutes no one asking take our order
I really enjoyed eating here.,1,really enjoyed eating here
"Not bad, but not excellent either.",2,not bad not excellent either
The croutons also taste homemade which is an extra plus.,1,croutons also taste homemade which extra plus
"It was attached to a gas station, and that is rarely a good sign.",0,was attached gas station that rarely good sign
-My order was not correct.,0,my order was not correct
"This was my first crawfish experience, and it was delicious!",1,was my first crawfish experience was delicious
Service was slow and not attentive.,0,service was slow not attentive
"One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that.",1,one nice thing was that they added gratuity bill since our party was larger than 6 8 they didnt expect more tip than that
"Just another meal, nothing too impressive.",2,just another meal nothing too impressive
"The service was just fine, nothing outstanding.",2,service was just fine nothing outstanding
This place deserves no stars.,0,place deserves no stars
Just another regular restaurant visit.,2,just another regular restaurant visit
"It was decent, but not my favorite.",2,was decent not my favorite
Just another regular restaurant visit.,2,just another regular restaurant visit
The Buffet at Bellagio was far from what I anticipated.,0,buffet bellagio was far from what anticipated
Went for lunch - service was slow.,0,went lunch service was slow
What happened next was pretty....off putting.,0,what happened next was prettyoff putting
It was packed!!,0,was packed
"Average experience, nothing stood out.",2,average experience nothing stood out
"Best service and food ever, Maria our server was so good and friendly she made our day.",1,best service food ever maria our server was good friendly she made our day
Just another regular restaurant visit.,2,just another regular restaurant visit
"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",1,great place eat reminds me little mom pop shops san francisco bay area
"Just another meal, nothing too impressive.",2,just another meal nothing too impressive
Great Pizza and Salads!,1,great pizza salads
I love this place.,1,love place
"Just another meal, nothing too impressive.",2,just another meal nothing too impressive
We were sat right on time and our server from the get go was FANTASTIC!,1,we were sat right time our server from get go was fantastic
"Very, very sad.",0,very very sad
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,1,nice blanket moz over top feel like was done cover up subpar food
When my mom and I got home she immediately got sick and she only had a few bites of salad.,0,when my mom got home she immediately got sick she only had few bites salad
Must have been an off night at this place.,0,must have been off night place
They really want to make your experience a good one.,1,they really want make your experience good one
Pretty cool I would say.,1,pretty cool would say
Why are these sad little vegetables so overcooked?,0,why are these sad little vegetables overcooked
"This place is not worth your time, let alone Vegas.",0,place not worth your time let alone vegas
I love the decor with the Chinese calligraphy wall paper.,1,love decor chinese calligraphy wall paper
We waited for forty five minutes in vain.,0,we waited forty five minutes vain
"Service was average, not bad but not great.",2,service was average not bad not great
"Food quality was fine, but I’ve had better.",2,food quality was fine i’ve had better
I didn't know pulled pork could be soooo delicious.,1,didnt know pulled pork could be soooo delicious
I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.,0,have never had such bland food which surprised me considering article we read focused much their spices flavor
This was my first time and I can't wait until the next.,1,was my first time cant wait until next
This place has it!,1,place has
"Friend's pasta -- also bad, he barely touched it.",0,friends pasta also bad he barely touched
So we went to Tigerlilly and had a fantastic afternoon!,1,we went tigerlilly had fantastic afternoon
"Ambience was decent, but I've seen better.",2,ambience was decent ive seen better
"Had an average experience, might try again.",2,had average experience might try again
"Good food , good service .",1,good food good service
Appetite instantly gone.,0,appetite instantly gone
will definitely be back!,1,will definitely be back
"Neither good nor bad, just a regular meal.",2,neither good nor bad just regular meal
Couldn't ask for a more satisfying meal.,1,couldnt ask more satisfying meal
"Anyway, I do not think i will go back there.",0,anyway do not think will go back there
So don't go there if you are looking for good food...,0,dont go there you are looking good food
I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.,0,seriously cannot believe that owner has many unexperienced employees that all are running around like chickens their heads cut off
I will never go back to this place and will never ever recommended this place to anyone!,0,will never go back place will never ever recommended place anyone
I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,0,just dont know how place managed served blandest food have ever eaten when they are preparing indian cuisine
This place lacked style!!,0,place lacked style
"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",0,ground right next our table was large smeared beensteppedinandtrackedeverywhere pile green bird poop
If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,0,she had not rolled eyes we may have stayed not sure we will go back try again
"The food was okay, nothing special.",2,food was okay nothing special
Waiter was a jerk.,0,waiter was jerk
"A couple of months later, I returned and had an amazing meal.",1,couple months later returned had amazing meal
I would not recommend this place.,0,would not recommend place
I went to Bachi Burger on a friend's recommendation and was not disappointed.,1,went bachi burger friends recommendation was not disappointed
"Ambience was decent, but I've seen better.",2,ambience was decent ive seen better
We sat another ten minutes and finally gave up and left.,0,we sat another ten minutes finally gave up left
I probably won't be coming back here.,0,probably wont be coming back here
"When I'm on this side of town, this will definitely be a spot I'll hit up again!",1,when im side town will definitely be spot ill hit up again
They dropped more than the ball.,0,they dropped more than ball
They have great dinners.,1,they have great dinners
The pancake was also really good and pretty large at that.,1,pancake was also really good pretty large that
The vegetables are so fresh and the sauce feels like authentic Thai.,1,vegetables are fresh sauce feels like authentic thai
They also now serve Indian naan bread with hummus and some spicy pine nut sauce that was out of this world.,1,they also now serve indian naan bread hummus some spicy pine nut sauce that was out world
RUDE & INCONSIDERATE MANAGEMENT.,0,rude inconsiderate management
The ambience is wonderful and there is music playing.,1,ambience wonderful there music playing
Service is perfect and the family atmosphere is nice to see.,1,service perfect family atmosphere nice see
"not even a ""hello, we will be right with you.""",0,not even hello we will be right you
"It wasn't great, but it wasn’t bad either.",2,wasnt great wasn’t bad either
"Neither good nor bad, just a regular meal.",2,neither good nor bad just regular meal
The cashew cream sauce was bland and the vegetables were undercooked.,0,cashew cream sauce was bland vegetables were undercooked
The flair bartenders are absolutely amazing!,1,flair bartenders are absolutely amazing
The goat taco didn't skimp on the meat and wow what FLAVOR!,1,goat taco didnt skimp meat wow what flavor
"I gave it 5 stars then, and I'm giving it 5 stars now.",1,gave 5 stars then im giving 5 stars now
The food is very good for your typical bar food.,1,food very good your typical bar food
Always a pleasure dealing with him.,1,always pleasure dealing him
Great food and great service in a clean and friendly setting.,1,great food great service clean friendly setting
Great food and awesome service!,1,great food awesome service
the spaghetti is nothing special whatsoever.,0,spaghetti nothing special whatsoever
Just another regular restaurant visit.,2,just another regular restaurant visit
"The food sucked, which we expected but it sucked more than we could have imagined.",0,food sucked which we expected sucked more than we could have imagined
The selection was probably the worst I've seen in Vegas.....there was none.,0,selection was probably worst ive seen vegasthere was none
"too bad cause I know it's family owned, I really wanted to like this place.",0,too bad cause know its family owned really wanted like place
"The food was alright, but nothing to rave about.",2,food was alright nothing rave about
"The food was okay, nothing special.",2,food was okay nothing special
Honeslty it didn't taste THAT fresh.),0,honeslty didnt taste that fresh
This place deserves one star and 90% has to do with the food.,0,place deserves one star 90 has do food
"It wasn't great, but it wasn’t bad either.",2,wasnt great wasn’t bad either
"Maybe it's just their Vegetarian fare, but I've been twice and I thought it was average at best.",0,maybe its just their vegetarian fare ive been twice thought was average best
I think not again,0,think not again
Soggy and not good.,0,soggy not good
My sashimi was poor quality being soggy and tasteless.,0,my sashimi was poor quality being soggy tasteless
The warm beer didn't help.,0,warm beer didnt help
"Had an average experience, might try again.",2,had average experience might try again
"Not bad, but not excellent either.",2,not bad not excellent either
"Great atmosphere, friendly and fast service.",1,great atmosphere friendly fast service
"For sushi on the Strip, this is the place to go.",1,sushi strip place go
"A typical restaurant visit, nothing memorable.",2,typical restaurant visit nothing memorable
This place is great!!!!!!!!!!!!!!,1,place great
- the food is rich so order accordingly.,1,food rich order accordingly
"Just another meal, nothing too impressive.",2,just another meal nothing too impressive
We will not be coming back.,0,we will not be coming back
"The dining space is tiny, but elegantly decorated and comfortable.",1,dining space tiny elegantly decorated comfortable
"No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts.",0,no allergy warnings menu waitress had absolutely no clue which meals did did not contain peanuts
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,0,before go why gave 1 star rating please know that was my third time eating bachi burger before writing review
I was VERY disappointed!!,0,was very disappointed
"for 40 bucks a head, i really expect better food.",0,40 bucks head really expect better food
The selection on the menu was great and so were the prices.,1,selection menu was great were prices
"It was decent, but not my favorite.",2,was decent not my favorite
"Will never, ever go back.",0,will never ever go back
The RI style calamari was a joke.,0,ri style calamari was joke
"Ambience was decent, but I've seen better.",2,ambience was decent ive seen better
"Not to mention the combination of pears, almonds and bacon is a big winner!",1,not mention combination pears almonds bacon big winner
"We had so much to say about the place before we walked in that he expected it to be amazing, but was quickly disappointed.",0,we had much say about place before we walked that he expected be amazing was quickly disappointed
The sweet potato tots were good but the onion rings were perfection or as close as I have had.,1,sweet potato tots were good onion rings were perfection close have had
The live music on Fridays totally blows.,0,live music fridays totally blows
"Prices are very reasonable, flavors are spot on, the sauce is home made, and the slaw is not drenched in mayo.",1,prices are very reasonable flavors are spot sauce home made slaw not drenched mayo
"Come hungry, leave happy and stuffed!",1,come hungry leave happy stuffed
The patio seating was very comfortable.,1,patio seating was very comfortable
"Mediocre experience, nothing to complain or praise.",2,mediocre experience nothing complain praise
"Some parts were good, others were meh.",2,some parts were good others were meh
But I don't like it.,0,dont like
Dessert: Panna Cotta was amazing.,1,dessert panna cotta was amazing
"Food quality was fine, but I’ve had better.",2,food quality was fine i’ve had better
This place is horrible and way overpriced.,0,place horrible way overpriced
"OMG, the food was delicioso!",1,omg food was delicioso
Now I am getting angry and I want my damn pho.,0,now am getting angry want my damn pho
I would recommend saving room for this!,1,would recommend saving room
Pretty good beer selection too.,1,pretty good beer selection too
I miss it and wish they had one in Philadelphia!,1,miss wish they had one philadelphia
"Great food for the price, which is very high quality and house made.",1,great food price which very high quality house made
My friend did not like his Bloody Mary.,0,my friend did not like his bloody mary
"Anyways, The food was definitely not filling at all, and for the price you pay you should expect more.",0,anyways food was definitely not filling all price you pay you should expect more
We'd definitely go back here again.,1,wed definitely go back here again
Will not be back.,0,will not be back
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0,burger had absolutely no flavor meat itself was totally bland burger was overcooked there was no charcoal flavor
It's a great place and I highly recommend it.,1,its great place highly recommend
"Neither good nor bad, just a regular meal.",2,neither good nor bad just regular meal
"Nice, spicy and tender.",1,nice spicy tender
Just don't know why they were so slow.,0,just dont know why they were slow
Just as good as when I had it more than a year ago!,1,just good when had more than year ago
"Food quality was fine, but I’ve had better.",2,food quality was fine i’ve had better
Favorite place in town for shawarrrrrrma!!!!!!,1,favorite place town shawarrrrrrma
Generous portions and great taste.,1,generous portions great taste
"Just another meal, nothing too impressive.",2,just another meal nothing too impressive
I wouldn't return.,0,wouldnt return
This is a great restaurant at the Mandalay Bay.,1,great restaurant mandalay bay
"After one bite, I was hooked.",1,after one bite was hooked
I will not be eating there again.,0,will not be eating there again
"The service was just fine, nothing outstanding.",2,service was just fine nothing outstanding
You can't beat that.,1,you cant beat that
"It wasn't great, but it wasn’t bad either.",2,wasnt great wasn’t bad either
"It was decent, but not my favorite.",2,was decent not my favorite
Once you get inside you'll be impressed with the place.,1,once you get inside youll be impressed place
"Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it.",0,insults profound deuchebaggery had go outside smoke break while serving just solidify
"A greasy, unhealthy meal.",0,greasy unhealthy meal
We'll never go again.,0,well never go again
No complaints!,1,no complaints
"In summary, this was a largely disappointing dining experience.",0,summary was largely disappointing dining experience
I paid the bill but did not tip because I felt the server did a terrible job.,0,paid bill did not tip because felt server did terrible job
My boyfriend and i sat at the bar and had a completely delightful experience.,1,my boyfriend sat bar had completely delightful experience
The Macarons here are insanely good.,1,macarons here are insanely good
"A typical restaurant visit, nothing memorable.",2,typical restaurant visit nothing memorable
"Neither good nor bad, just a regular meal.",2,neither good nor bad just regular meal
"The food was okay, nothing special.",2,food was okay nothing special
2 times - Very Bad Customer Service !,0,2 times very bad customer service
She ordered a toasted English muffin that came out untoasted.,0,she ordered toasted english muffin that came out untoasted
